episode,reward,success,length
453,-0.1,0,1
454,-0.1,0,1
455,-0.11075033,0,2
456,-0.1,0,1
457,-0.1,0,1
458,-0.1,0,1
459,-0.14110723,1,3
460,-0.1,0,1
461,-0.1,0,1
462,-0.1,0,1
463,-0.103076406,0,2
464,-0.06315596,1,2
465,-0.1,0,1
466,-0.1,0,1
467,-0.1,0,1
468,-0.1,0,1
469,-0.1,0,1
470,-0.077490136,1,2
471,-0.1,0,1
472,-0.1,0,1
473,-0.1,0,1
474,-0.1,0,1
475,-0.1,0,1
476,0.3056015,1,1
477,-0.1,0,1
478,-0.18329036,0,2
479,0.19557644,1,1
480,-0.1,0,1
481,-0.1,0,1
482,-0.1,0,1
483,0.25675842,1,1
484,-0.1,0,1
485,-0.1,0,1
486,-0.1,0,1
487,-0.1,0,1
488,-0.13460828,0,2
489,-0.1,0,1
490,-0.1,0,1
491,-0.1,0,1
492,0.20581095,1,1
493,-0.1,0,1
494,0.13155968,1,1
495,-0.1,0,1
496,0.15785825,1,1
497,-0.1,0,1
498,-0.1,0,1
499,0.25423542,1,1
500,-0.1,0,1
501,-0.1,0,1
502,-0.1,0,1
503,-0.1,0,1
504,-0.1,0,1
505,-0.1,0,1
506,-0.1,0,1
507,-0.1,0,1
508,-0.1,0,1
509,-0.1,0,1
510,-0.1,0,1
511,-0.1,0,1
512,-0.1,0,1
513,-0.037363194,1,4
514,-0.1,0,1
515,-0.1,0,1
516,-0.1,0,1
517,-0.1,0,1
518,0.2440221,1,1
519,-0.01965601,1,2
520,-0.1,0,1
521,-0.1,0,1
522,-0.1,0,1
523,-0.1,0,1
524,0.24305004,1,1
525,0.19518326,1,1
526,0.2642206,1,1
527,0.15711623,1,1
528,0.24819618,1,1
529,0.21330713,1,1
530,-0.1,0,1
531,-0.1,0,1
532,-0.1,0,1
533,-0.1,0,1
534,0.27244985,1,1
535,0.25569886,1,1
536,-0.1,0,1
537,-0.1,0,1
538,-0.1,0,1
539,-0.1,0,1
540,-0.1,0,1
541,-0.1,0,1
542,-0.1,0,1
543,0.2201329,1,1
544,-0.1,0,1
545,-0.1,0,1
546,0.22227238,1,1
547,-0.1,0,1
548,0.18029568,1,1
549,0.279974,1,1
550,-0.1,0,1
551,-0.1,0,1
552,-0.1,0,1
553,0.12755114,1,1
554,0.16337232,1,1
555,-0.1,0,1
556,-0.1,0,1
557,0.29228997,1,1
558,0.17467713,1,1
559,-0.1,0,1
560,0.36786145,1,1
561,0.26173204,1,1
562,-0.1,0,1
563,-0.1,0,1
564,0.16072434,1,1
565,-0.1,0,1
566,-0.021764413,1,2
567,0.2530835,1,1
568,-0.1,0,1
569,-0.1,0,1
570,-0.1,0,1
571,0.24797542,1,1
572,-0.1,0,1
573,0.2593503,1,1
574,-0.1,0,1
575,-0.1,0,1
576,0.2096198,1,1
577,-0.1,0,1
578,-0.1,0,1
579,-0.1,0,1
580,-0.19417417,0,3
581,-0.1,0,1
582,0.15484948,1,1
583,0.17148378,1,1
584,0.28997943,1,1
585,0.22288221,1,1
586,-0.1,0,1
587,0.18059762,1,1
588,0.15313163,1,1
589,-0.1,0,1
590,0.27715817,1,1
591,-0.1,0,1
592,0.26750168,1,1
593,-0.1,0,1
594,-0.1,0,1
595,-0.037619226,1,2
596,-0.1,0,1
597,0.16463272,1,1
598,0.16280282,1,1
599,0.14538044,1,1
600,0.18392059,1,1
601,0.18774587,1,1
602,-0.1,0,1
603,0.17259063,1,1
604,-0.1,0,1
605,-0.1,0,1
606,-0.1,0,1
607,0.080341265,1,1
608,0.26462063,1,1
609,-0.1,0,1
610,0.17442657,1,1
611,-0.1,0,1
612,-0.1,0,1
613,-0.1,0,1
614,-0.1,0,1
615,-0.1,0,1
616,-0.1,0,1
617,0.17226811,1,1
618,-0.1,0,1
619,-0.22343807,0,3
620,-0.1,0,1
621,-0.1,0,1
622,-0.1,0,1
623,-0.1,0,1
624,0.19206224,1,1
625,-0.1,0,1
626,0.29111037,1,1
627,-0.1,0,1
628,-0.1,0,1
629,-0.1,0,1
630,-0.1,0,1
631,0.1763713,1,1
632,0.23879325,1,1
633,-0.1,0,1
634,-0.1,0,1
635,-0.17534599,0,3
636,-0.1,0,1
637,-0.1,0,1
638,0.24743518,1,1
639,-0.1,0,1
640,-0.1,0,1
641,-0.10081604,0,2
642,-0.1,0,1
643,-0.1,0,1
644,0.19473955,1,1
645,0.25653213,1,1
646,-0.1,0,1
647,-0.1,0,1
648,-0.1,0,1
649,-0.1,0,1
650,-0.1,0,1
651,-0.1,0,1
652,-0.1,0,1
653,-0.1,0,1
654,-0.1,0,1
655,-0.1,0,1
656,0.23668614,1,1
657,-0.1,0,1
658,-0.1,0,1
659,-0.1,0,1
660,-0.1,0,1
661,-0.1,0,1
662,-0.1,0,1
663,0.24926525,1,1
664,0.27548498,1,1
665,0.367554,1,1
666,-0.1,0,1
667,-0.13918197,1,3
668,0.2235999,1,1
669,-0.1,0,1
670,0.10807753,1,1
671,0.17931776,1,1
672,-0.1,0,1
673,-0.1,0,1
674,0.2493008,1,1
675,0.2988131,1,1
676,-0.1,0,1
677,0.13177188,1,1
678,-0.1,0,1
679,-0.1649567,0,2
680,0.14717402,1,1
681,0.2446924,1,1
682,-0.1,0,1
683,-0.1,0,1
684,0.24685508,1,1
685,-0.1,0,1
686,-0.1,0,1
687,0.23966025,1,1
688,-0.1,0,1
689,-0.080502406,1,2
690,-0.1,0,1
691,-0.1,0,1
692,-0.1,0,1
693,-0.1,0,1
694,0.18890426,1,1
695,-0.1,0,1
696,0.2000396,1,1
697,-0.11870783,1,3
698,-0.1,0,1
699,-0.1,0,1
700,-0.09390246,1,2
701,-0.1,0,1
702,-0.1,0,1
703,-0.1,0,1
704,-0.1,0,1
705,0.17729095,1,1
706,-0.1,0,1
707,-0.1,0,1
708,-0.1,0,1
709,-0.1,0,1
710,-0.1,0,1
711,-0.1,0,1
712,-0.025991134,1,2
713,-0.3647422,0,5
714,-0.1,0,1
715,-0.1,0,1
716,0.11697126,1,1
717,-0.1,0,1
718,-0.09887497,1,2
719,-0.09236829,1,3
720,0.256843,1,1
721,-0.098045886,1,2
722,-0.1,0,1
723,0.22728902,1,1
724,-0.1,0,1
725,-0.15396498,0,2
726,-0.1,0,1
727,-0.1,0,1
728,0.105583295,1,1
729,0.30579972,1,1
730,0.23108312,1,1
731,0.18821111,1,1
732,-0.1,0,1
733,0.25427017,1,1
734,-0.1,0,1
735,-0.1,0,1
736,0.2399188,1,1
737,-0.1,0,1
738,-0.1,0,1
739,-0.1,0,1
740,-0.1,0,1
741,0.18333738,1,1
742,-0.1,0,1
743,-0.1,0,1
744,-0.1,0,1
745,0.12791292,1,1
746,-0.1,0,1
747,-0.1,0,1
748,0.26047412,1,1
749,-0.1,0,1
750,0.13621344,1,1
751,-0.1,0,1
752,0.24393907,1,1
753,-0.1,0,1
754,0.23820521,1,1
755,-0.1,0,1
756,-0.1,0,1
757,-0.1,0,1
758,-0.1,0,1
759,-0.1,0,1
760,-0.1,0,1
761,0.2553803,1,1
762,0.2015079,1,1
763,0.25614157,1,1
764,0.34680796,1,1
765,0.18097717,1,1
766,-0.1,0,1
767,0.235313,1,1
768,-0.10188086,0,2
769,-0.1256781,0,2
770,0.29285154,1,1
771,-0.1,0,1
772,0.15518744,1,1
773,0.1478636,1,1
774,0.24654867,1,1
775,-0.1,0,1
776,0.120972805,1,1
777,0.21784733,1,1
778,-0.1,0,1
779,-0.1,0,1
780,-0.1,0,1
781,-0.1,0,1
782,0.09718432,1,1
783,0.3071915,1,1
784,-0.1,0,1
785,-0.1,0,1
786,-0.20763859,0,2
787,-0.1,0,1
788,-0.1,0,1
789,-0.1,0,1
790,-0.1,0,1
791,-0.1,0,1
792,0.28887656,1,1
793,-0.1,0,1
794,0.2135099,1,1
795,-0.1,0,1
796,-0.1,0,1
797,0.08607783,1,1
798,0.30340853,1,1
799,-0.1,0,1
800,-0.1,0,1
801,-0.1,0,1
802,0.20338857,1,1
803,-0.1,0,1
804,-0.1,0,1
805,-0.1,0,1
806,-0.1,0,1
807,-0.1,0,1
808,-0.1,0,1
809,0.2344012,1,1
810,-0.1,0,1
811,-0.1,0,1
812,0.25661528,1,1
813,-0.1,0,1
814,0.3113967,1,1
815,-0.06398063,1,2
816,-0.1,0,1
817,-0.1,0,1
818,-0.1,0,1
819,0.28743988,1,1
820,-0.1,0,1
821,-0.1,0,1
822,-0.1,0,1
823,0.29043356,1,1
824,-0.1,0,1
825,-0.1,0,1
826,-0.1,0,1
827,-0.1,0,1
828,-0.1,0,1
829,-0.1,0,1
830,0.25713152,1,1
831,-0.1,0,1
832,-0.1,0,1
833,0.19192927,1,1
834,-0.1,0,1
835,-0.1,0,1
836,-0.1,0,1
837,-0.11370528,0,2
838,-0.1,0,1
839,0.28684166,1,1
840,-0.1,0,1
841,-0.1,0,1
842,0.2623532,1,1
843,-0.1,0,1
844,-0.1,0,1
845,-0.1,0,1
846,0.22777753,1,1
847,-0.1,0,1
848,-0.1,0,1
849,0.27193043,1,1
850,-0.1,0,1
851,-0.1,0,1
852,-0.1,0,1
853,-0.030069329,1,2
854,-0.1,0,1
855,0.17540725,1,1
856,0.23586778,1,1
857,-0.1,0,1
858,-0.1,0,1
859,-0.1,0,1
860,0.115221746,1,1
861,0.2710589,1,1
862,-0.1,0,1
863,-0.1,0,1
864,-0.1,0,1
865,-0.1,0,1
866,0.23743282,1,1
867,-0.1,0,1
868,-0.1,0,1
869,-0.1,0,1
870,0.21041332,1,1
871,0.20463693,1,1
872,0.17590402,1,1
873,0.25224593,1,1
874,0.19622995,1,1
875,0.20641887,1,1
876,0.2555191,1,1
877,-0.1,0,1
878,-0.1,0,1
879,-0.1,0,1
880,-0.1,0,1
881,0.2798332,1,1
882,-0.1,0,1
883,-0.1,0,1
884,-0.1,0,1
885,-0.1,0,1
886,0.307976,1,1
887,-0.1,0,1
888,0.22785743,1,1
889,-0.1,0,1
890,-0.1,0,1
891,0.29751197,1,1
892,-0.1,0,1
893,-0.1,0,1
894,-0.1,0,1
895,0.29477865,1,1
896,0.2386664,1,1
897,0.23534565,1,1
898,0.028643377,1,2
899,-0.1,0,1
900,-0.1,0,1
901,0.21941197,1,1
902,0.17633271,1,1
903,-0.1,0,1
904,-0.1,0,1
905,-0.1,0,1
906,0.34144253,1,1
907,-0.1,0,1
908,-0.1,0,1
909,0.105978124,1,1
910,-0.1,0,1
911,-0.1,0,1
912,-0.1,0,1
913,0.27077514,1,1
914,-0.1,0,1
915,-0.1,0,1
916,-0.1,0,1
917,-0.1,0,1
918,0.28764394,1,1
919,-0.1,0,1
920,-0.1,0,1
921,-0.1,0,1
922,-0.1,0,1
923,0.1778851,1,1
924,-0.1,0,1
925,0.2068042,1,1
926,-0.1,0,1
927,-0.1,0,1
