episode,reward,success,length
406,0.47871268,1,1
407,-0.07910117,1,2
408,-0.1,0,1
409,-0.1,0,1
410,0.50096744,1,1
411,0.4328643,1,2
412,-0.0072732493,1,2
413,-0.1,0,1
414,-0.1,0,1
415,-0.1,0,1
416,-0.13531095,0,2
417,-0.1,0,1
418,-0.1,0,1
419,-0.1,0,1
420,-0.07750886,1,2
421,-0.1,0,1
422,-0.1,0,1
423,-0.13954811,1,3
424,-0.1,0,1
425,-0.1,0,1
426,-0.1,0,1
427,-0.1,0,1
428,-0.1,0,1
429,0.0252833,1,2
430,0.5280785,1,1
431,0.54194903,1,1
432,-0.097069666,1,3
433,-0.1,0,1
434,-0.1,0,1
435,-0.1,0,1
436,0.4717719,1,1
437,-0.1,0,1
438,-0.1,0,1
439,-0.1,0,1
440,0.34492987,1,1
441,-0.1,0,1
442,-0.1,0,1
443,-0.1,0,1
444,-0.1,0,1
445,-0.068300664,1,2
446,-0.1,0,1
447,-0.019757621,1,2
448,-0.1,0,1
449,-0.1,0,1
450,-0.1,0,1
451,-0.1,0,1
452,-0.1,0,1
453,-0.1,0,1
454,-0.1,0,1
455,-0.1,0,1
456,-0.1,0,1
457,-0.1,0,1
458,-0.1,0,1
459,0.49273202,1,2
460,-0.1,0,1
461,-0.1,0,1
462,-0.1,0,1
463,-0.23187378,1,4
464,-0.1,0,1
465,-0.1,0,1
466,-0.1,0,1
467,-0.1,0,1
468,0.41224647,1,1
469,-0.1,0,1
470,-0.026220307,1,2
471,-0.13147607,0,2
472,0.2572005,1,1
473,-0.1,0,1
474,-0.1,0,1
475,-0.1,0,1
476,-0.1,0,1
477,0.010289356,1,2
478,-0.1,0,1
479,-0.1,0,1
480,-0.1,0,1
481,-0.1,0,1
482,-0.1,0,1
483,0.4132027,1,2
484,0.48995462,1,1
485,-0.1,0,1
486,-0.1,0,1
487,-0.1,0,1
488,-0.1,0,1
489,-0.1,0,1
490,0.5087309,1,1
491,-0.1,0,1
492,0.45984644,1,1
493,-0.1,0,1
494,-0.11617368,0,2
495,-0.1,0,1
496,-0.16931671,1,3
497,-0.1,0,1
498,-0.1,0,1
499,0.52862763,1,1
500,-0.1,0,1
501,-0.1,0,1
502,-0.1,0,1
503,-0.1,0,1
504,-0.1,0,1
505,-0.1,0,1
506,0.6666505,1,3
507,-0.14414783,0,2
508,0.5054353,1,1
509,0.35623,1,1
510,-0.1,0,1
511,-0.1,0,1
512,-0.1,0,1
513,0.52767706,1,1
514,-0.1,0,1
515,-0.1,0,1
516,-0.1,0,1
517,0.31797123,1,2
518,-0.1,0,1
519,-0.1,0,1
520,-0.1,0,1
521,-0.1,0,1
522,-0.1,0,1
523,-0.1,0,1
524,-0.10771726,0,2
525,-0.1,0,1
526,0.50324357,1,1
527,-0.12638919,0,2
528,-0.1,0,1
529,-0.1,0,1
530,-0.1,0,1
531,0.5484191,1,1
532,-0.044153906,1,2
533,-0.1,0,1
534,-0.1,0,1
535,0.4929121,1,1
536,-0.1,0,1
537,-0.1,0,1
538,-0.1,0,1
539,-0.1,0,1
540,0.4969493,1,3
541,-0.1,0,1
542,-0.1,0,1
543,-0.1,0,1
544,-0.1,0,1
545,-0.12194835,0,2
546,-0.1,0,1
547,0.49107516,1,1
548,-0.10971139,0,2
549,0.47945485,1,1
550,-0.1,0,1
551,-0.1,0,1
552,-0.1,0,1
553,0.39584154,1,2
554,-0.1454121,1,3
555,-0.1,0,1
556,-0.1,0,1
557,-0.1,0,1
558,-0.1,0,1
559,-0.12305007,0,2
560,-0.1,0,1
561,-0.06943949,1,2
562,-0.1,0,1
563,-0.1,0,1
564,-0.1,0,1
565,-0.1,0,1
566,-0.1,0,1
567,-0.1,0,1
568,-0.047387775,1,2
569,-0.1,0,1
570,-0.066387504,1,2
571,0.47242004,1,1
572,0.29940775,1,1
573,0.33875036,1,3
574,0.54516906,1,1
575,0.5038851,1,1
576,0.48000994,1,1
577,0.511926,1,1
578,0.4624415,1,2
579,-0.1,0,1
580,0.4425704,1,1
581,-0.114128806,0,2
582,-0.1,0,1
583,-0.1,0,1
584,0.42157412,1,2
585,-0.1,0,1
586,-0.1,0,1
587,-0.1,0,1
588,-0.06582829,1,4
589,-0.1,0,1
590,-0.035360284,1,2
591,-0.1,0,1
592,-0.1,0,1
593,-0.1,0,1
594,-0.1,0,1
595,-0.1,0,1
596,0.51189417,1,1
597,0.5349856,1,1
598,-0.1,0,1
599,-0.1,0,1
600,-0.14825574,1,4
601,0.53877866,1,1
602,-0.1,0,1
603,-0.1,0,1
604,0.51961684,1,1
605,0.5318638,1,1
606,0.32414553,1,1
607,-0.1,0,1
608,0.39783105,1,1
609,0.4194938,1,2
610,-0.1,0,1
611,-0.1,0,1
612,-0.1,0,1
613,-0.1,0,1
614,-0.1,0,1
615,-0.14466716,0,2
616,-0.1,0,1
617,0.5244789,1,1
618,-0.2301225,0,2
619,0.4622945,1,1
620,-0.08846404,1,2
621,0.05064463,1,2
622,-0.1,0,1
623,-0.1,0,1
624,-0.1,0,1
625,0.50404334,1,1
626,-0.14652367,0,3
627,0.40909994,1,1
628,0.45453063,1,1
629,-0.022602461,1,2
630,-0.1,0,1
631,-0.1,0,1
632,-0.1,0,1
633,-0.1,0,1
634,-0.1,0,1
635,0.06327274,1,2
636,-0.1,0,1
637,-0.1,0,1
638,-0.1,0,1
639,-0.1,0,1
640,-0.008366041,1,2
641,-0.03493125,1,4
642,-0.1,0,1
643,-0.1,0,1
644,-0.1,0,1
645,-0.1,0,1
646,0.45765224,1,1
647,-0.080358654,1,2
648,0.5138055,1,1
649,-0.1,0,1
650,-0.1,0,1
651,-0.1,0,1
652,0.5245557,1,1
653,-0.1,0,1
654,-0.10548471,1,3
655,-0.1,0,1
656,-0.1,0,1
657,-0.1,0,1
658,-0.1,0,1
659,-0.1,0,1
660,-0.1,0,1
661,0.4224549,1,1
662,-0.1,0,1
663,-0.1,0,1
664,-0.1,0,1
665,-0.1,0,1
666,-0.1,0,1
667,-0.1,0,1
668,-0.1,0,1
669,-0.1,0,1
670,0.57186574,1,2
671,-0.20831674,0,2
672,-0.07543203,1,4
673,-0.1,0,1
674,-0.1,0,1
675,-0.1,0,1
676,0.3135392,1,1
677,-0.005519405,1,2
678,-0.1,0,1
679,-0.1,0,1
680,-0.1,0,1
681,-0.1,0,1
682,0.534549,1,1
683,0.30920973,1,1
684,-0.1,0,1
685,-0.1,0,1
686,0.46454865,1,1
687,-0.1605736,0,2
688,-0.1,0,1
689,-0.1,0,1
690,-0.1,0,1
691,-0.1,0,1
692,-0.14578559,0,2
693,-0.1,0,1
694,0.501103,1,1
695,0.5593963,1,1
696,-0.1,0,1
697,-0.1,0,1
698,-0.1,0,1
699,-0.1,0,1
700,-0.1,0,1
701,-0.1,0,1
702,-0.1,0,1
703,-0.1,0,1
704,-0.1,0,1
705,-0.1,0,1
706,-0.1,0,1
707,-0.1,0,1
708,-0.1,0,1
709,-0.1,0,1
710,-0.1,0,1
711,-0.1,0,1
712,-0.1,0,1
713,-0.097254954,1,2
714,-0.1,0,1
715,-0.1665551,0,2
716,-0.1,0,1
717,-0.1,0,1
718,-0.1,0,1
719,-0.1,0,1
720,-0.05508526,1,2
721,-0.1,0,1
722,0.53117794,1,1
723,-0.1,0,1
724,-0.1,0,1
725,-0.1,0,1
726,0.43734705,1,1
727,-0.1,0,1
728,0.53704554,1,1
729,-0.1,0,1
730,-0.1,0,1
731,-0.1,0,1
732,-0.1,0,1
733,-0.1,0,1
734,-0.1,0,1
735,0.46957168,1,1
736,-0.11490682,0,2
737,0.4256377,1,2
738,0.29431063,1,1
739,-0.1,0,1
740,-0.6284271,0,8
741,-0.1,0,1
742,-0.1,0,1
743,-0.1,0,1
744,-0.1,0,1
745,-0.1,0,1
746,-0.1,0,1
747,-0.1,0,1
748,-0.1,0,1
749,-0.1,0,1
750,-0.1,0,1
751,0.59426486,1,1
752,-0.1,0,1
753,-0.1,0,1
754,-0.1,0,1
755,-0.1,0,1
756,0.5615814,1,1
757,0.5275673,1,1
758,0.4981135,1,1
759,0.3938154,1,1
760,-0.071903154,1,2
761,-0.11033264,1,3
762,-0.1,0,1
763,-0.14197883,0,2
764,-0.1,0,1
765,-0.15786886,0,2
766,-0.05277342,1,3
767,-0.1,0,1
768,0.51774526,1,1
769,-0.16417305,0,2
770,0.52530694,1,1
771,-0.1,0,1
772,0.4750115,1,1
773,-0.1553011,0,2
774,-0.1,0,1
775,-0.1,0,1
776,-0.14988202,0,2
777,-0.1,0,1
778,-0.1,0,1
779,-0.1,0,1
780,0.47727326,1,1
781,0.47012812,1,1
782,-0.1,0,1
783,-0.1,0,1
784,-0.1,0,1
785,-0.1,0,1
786,-0.1,0,1
787,-0.1,0,1
788,-0.1,0,1
789,-0.1,0,1
790,-0.08266264,1,4
791,-0.1,0,1
792,-0.12776938,1,3
793,-0.1,0,1
794,-0.1,0,1
795,-0.1,0,1
796,-0.11819829,0,2
797,-0.1,0,1
798,0.5159154,1,1
799,-0.1,0,1
800,-0.1,0,1
801,-0.1,0,1
802,-0.1,0,1
803,-0.03490135,1,2
804,0.008815981,1,2
805,-0.1,0,1
806,0.27218342,1,1
807,0.60247695,1,3
808,-0.1,0,1
809,-0.1,0,1
810,-0.1,0,1
811,-0.08821151,1,2
812,-0.1,0,1
813,-0.1,0,1
814,-0.1,0,1
815,-0.1,0,1
816,-0.1,0,1
817,-0.1,0,1
818,-0.2102375,1,6
819,-0.11070894,0,2
820,-0.1,0,1
821,-0.1,0,1
822,-0.1,0,1
823,-0.1,0,1
824,0.5303891,1,1
825,-0.1,0,1
826,-0.1,0,1
827,0.35326716,1,2
828,-0.15531528,0,2
829,-0.1,0,1
830,0.5022279,1,1
831,-0.1,0,1
832,0.49376208,1,1
833,-0.1,0,1
834,-0.1,0,1
835,-0.1,0,1
836,-0.20273045,0,3
837,-0.1,0,1
838,-0.1,0,1
839,-0.1,0,1
840,-0.1,0,1
841,0.50217235,1,1
842,-0.1,0,1
843,0.43420172,1,2
844,-0.1,0,1
845,-0.1,0,1
846,-0.1,0,1
847,-0.1,0,1
848,-0.1,0,1
849,-0.1,0,1
850,0.48342213,1,1
851,-0.1,0,1
852,-0.017049268,1,2
853,-0.1,0,1
854,-0.1,0,1
855,0.40882218,1,1
856,-0.1,0,1
857,-0.1,0,1
858,-0.1,0,1
859,0.48733285,1,2
860,0.49608782,1,1
861,-0.1,0,1
862,-0.1,0,1
863,-0.1,0,1
864,-0.1,0,1
865,-0.1,0,1
866,-0.18686147,0,4
867,-0.1,0,1
868,-0.1,0,1
869,0.5349781,1,3
870,-0.1,0,1
871,-0.1,0,1
872,-0.1,0,1
873,-0.1,0,1
874,-0.1,0,1
875,0.5567376,1,1
876,0.5157072,1,1
877,-0.1,0,1
878,-0.1,0,1
879,0.39119706,1,1
880,-0.1,0,1
881,-0.1,0,1
882,-0.1,0,1
883,-0.1,0,1
884,-0.1,0,1
885,-0.1,0,1
886,0.49727786,1,1
887,-0.1,0,1
888,-0.1,0,1
889,-0.1,0,1
890,-0.1,0,1
891,0.3403259,1,1
892,0.31000286,1,4
893,-0.1,0,1
894,-0.06464802,1,2
895,0.5797915,1,1
896,-0.18548574,0,2
897,0.4300196,1,1
898,-0.1,0,1
899,0.57678133,1,1
900,-0.22032629,0,3
901,-0.1,0,1
902,0.29891348,1,1
903,0.20335156,1,1
904,-0.1,0,1
905,-0.1,0,1
906,0.5126445,1,1
907,-0.04350619,1,3
908,-0.1,0,1
909,-0.1,0,1
910,-0.1,0,1
911,-0.1,0,1
912,0.5018812,1,1
913,-0.1,0,1
914,-0.24558792,0,3
915,-0.1,0,1
916,0.4303583,1,1
917,-0.15369911,1,7
918,-0.1,0,1
919,0.10799267,1,2
920,-0.1,0,1
921,-0.1,0,1
922,-0.1,0,1
923,-0.12940027,0,2
924,0.5460561,1,1
925,-0.18850324,0,2
926,-0.1,0,1
927,-0.1,0,1
928,-0.10547862,0,2
929,0.34450662,1,1
930,-0.1,0,1
931,-0.1,0,1
932,-0.1,0,1
933,-0.1,0,1
934,-0.1,0,1
935,-0.1,0,1
936,-0.1,0,1
937,-0.1,0,1
938,-0.1,0,1
939,-0.1,0,1
940,-0.1,0,1
941,-0.1,0,1
942,-0.09129746,1,2
943,-0.1,0,1
944,-0.1,0,1
945,-0.1,0,1
946,-0.17040682,0,2
947,-0.1,0,1
948,0.44527107,1,1
949,0.49095696,1,1
950,-0.1,0,1
951,-0.08997855,1,2
952,-0.1,0,1
953,-0.1,0,1
954,-0.11880763,0,2
955,0.23331286,1,1
956,-0.1,0,1
957,0.37437966,1,1
958,-0.1,0,1
959,-0.1,0,1
960,-0.12387955,0,2
961,-0.1,0,1
962,-0.1,0,1
963,-0.1341522,0,2
964,-0.1,0,1
965,-0.1,0,1
966,0.46409878,1,1
967,-0.1,0,1
968,-0.118194595,0,2
969,-0.1,0,1
970,0.4903117,1,1
971,-0.1,0,1
972,0.6006189,1,1
973,-0.1,0,1
974,-0.13392523,0,2
975,-0.1,0,1
976,-0.1,0,1
977,-0.1,0,1
978,-0.1,0,1
979,0.49490714,1,1
980,-0.1,0,1
981,-0.1,0,1
982,-0.1,0,1
983,-0.1,0,1
984,0.47809187,1,1
985,-0.1,0,1
986,-0.1,0,1
987,-0.1215121,0,2
988,-0.1,0,1
989,-0.091289245,1,2
990,-0.1,0,1
991,-0.1,0,1
992,-0.1,0,1
993,-0.1,0,1
994,-0.1,0,1
995,-0.06365291,1,3
996,0.49934003,1,1
997,-0.1,0,1
998,0.02998539,1,2
999,-0.1,0,1
1000,0.5240596,1,2
1001,0.5118288,1,1
1002,-0.1,0,1
1003,-0.099359475,1,2
1004,-0.1,0,1
1005,0.32235703,1,2
1006,-0.1,0,1
1007,-0.1,0,1
1008,-0.14031802,0,2
1009,-0.1,0,1
1010,-0.040083587,1,2
1011,-0.07470347,1,2
1012,-0.1,0,1
1013,-0.1,0,1
1014,-0.21648023,0,2
1015,0.47029206,1,1
1016,-0.1,0,1
1017,-0.1,0,1
1018,-0.1,0,1
1019,-0.1,0,1
1020,-0.1,0,1
1021,-0.1,0,1
1022,-0.09507272,1,2
1023,-0.1,0,1
1024,0.49781132,1,1
1025,-0.1,0,1
1026,-0.1,0,1
1027,-0.1,0,1
1028,-0.1,0,1
1029,-0.1,0,1
1030,-0.13718352,0,2
1031,-0.1,0,1
1032,0.54614353,1,1
1033,-0.1,0,1
1034,0.49427524,1,1
1035,-0.1,0,1
1036,-0.1,0,1
1037,-0.12115072,0,2
1038,-0.1,0,1
1039,-0.12816994,0,2
1040,-0.1,0,1
1041,0.5098971,1,1
1042,-0.1,0,1
1043,-0.1,0,1
1044,-0.1,0,1
1045,-0.1,0,1
1046,-0.1,0,1
1047,-0.07688692,1,2
1048,-0.056194007,1,2
1049,0.4945376,1,1
1050,-0.1,0,1
1051,-0.1,0,1
1052,-0.1,0,1
1053,0.37371248,1,1
1054,-0.076748274,1,4
1055,-0.14369644,0,2
1056,-0.1,0,1
1057,-0.1,0,1
1058,-0.18043578,0,3
1059,-0.1,0,1
1060,-0.16504967,0,2
1061,-0.13207811,0,2
1062,-0.1,0,1
1063,-0.1,0,1
1064,-0.1,0,1
1065,-0.1,0,1
1066,-0.1,0,1
1067,0.45445287,1,2
1068,-0.1,0,1
1069,-0.1,0,1
1070,0.22524683,1,1
1071,-0.099267356,1,2
1072,-0.1,0,1
1073,-0.1,0,1
1074,-0.1,0,1
1075,-0.1,0,1
1076,0.5052927,1,1
1077,-0.101539806,1,3
1078,0.45649046,1,1
1079,0.560301,1,1
1080,0.40911055,1,1
1081,-0.21849278,0,2
1082,-0.1,0,1
1083,-0.1,0,1
1084,0.34705368,1,4
1085,-0.10095059,0,2
1086,0.49399143,1,1
1087,-0.1,0,1
1088,-0.1,0,1
1089,-0.1,0,1
1090,-0.088394105,1,2
1091,-0.1,0,1
1092,-0.1,0,1
1093,-0.1,0,1
1094,0.41512835,1,1
1095,-0.1,0,1
1096,-0.092445634,1,2
1097,-0.1,0,1
1098,-0.1,0,1
1099,-0.1,0,1
1100,-0.1,0,1
1101,-0.1,0,1
1102,0.52374256,1,1
1103,0.59353316,1,3
1104,-0.087034956,1,2
1105,-0.1,0,1
1106,-0.1,0,1
1107,-0.22557089,0,3
1108,-0.1,0,1
1109,0.3392672,1,1
1110,-0.1,0,1
1111,-0.1,0,1
1112,-0.06822299,1,2
1113,-0.1,0,1
1114,-0.20649004,0,2
1115,-0.1,0,1
1116,-0.1,0,1
1117,-0.1,0,1
1118,-0.16931489,0,2
1119,-0.1,0,1
1120,-0.1,0,1
1121,-0.1,0,1
1122,-0.1,0,1
1123,-0.1,0,1
1124,-0.1,0,1
1125,-0.1,0,1
1126,0.49628174,1,1
1127,0.012254208,1,2
1128,-0.1,0,1
1129,-0.12355975,0,2
1130,-0.1,0,1
1131,-0.1,0,1
1132,0.4378275,1,1
1133,-0.18274453,0,3
1134,-0.1,0,1
1135,-0.19378783,0,2
1136,0.529905,1,1
1137,-0.1,0,1
1138,-0.09757622,1,2
1139,-0.1,0,1
1140,-0.1,0,1
1141,-0.1,0,1
1142,-0.1,0,1
1143,-0.1,0,1
1144,-0.14155038,0,2
1145,-0.09809124,1,2
1146,-0.1,0,1
1147,-0.34056324,0,3
1148,-0.1,0,1
1149,0.48812023,1,1
1150,0.48474142,1,1
1151,-0.1,0,1
1152,-0.1,0,1
1153,0.45939854,1,1
1154,-0.1,0,1
1155,0.4704689,1,1
1156,-0.1,0,1
1157,-0.1,0,1
1158,-0.1,0,1
1159,0.49899888,1,1
1160,-0.1,0,1
1161,-0.1,0,1
1162,-0.1,0,1
1163,0.479255,1,1
1164,0.22927317,1,1
1165,-0.03210336,1,2
1166,-0.1,0,1
1167,0.5084598,1,1
1168,-0.1,0,1
1169,-0.1,0,1
1170,0.5530975,1,1
1171,-0.1,0,1
1172,-0.1,0,1
1173,0.43573618,1,1
1174,-0.1,0,1
1175,-0.1,0,1
1176,0.5716142,1,1
1177,-0.1,0,1
1178,-0.15903765,0,2
1179,-0.1,0,1
1180,0.48599222,1,1
1181,0.047637917,1,2
1182,-0.14287229,1,4
1183,-0.0498135,1,2
1184,-0.1,0,1
1185,-0.1,0,1
1186,-0.1,0,1
1187,-0.1,0,1
1188,-0.1,0,1
1189,-0.033447564,1,3
1190,-0.1,0,1
1191,0.46477395,1,1
1192,0.48732218,1,1
1193,-0.1,0,1
1194,-0.13179214,1,4
1195,-0.1,0,1
